HIP,HD,Bayer,NAME,ra2000,de2000,plx,pmra,pmde,rv,Hpmag,Umag,Bmag,Vmag,Imag
71683,128620,alfa Cen A,Rigil Kentaurus,219.90205833170774,-60.83399268831004,754.81,-3679.25,473.67,-24.6,0.1373,0.94,0.7,-0.01,-0.7
71681,128621,alfa Cen B,Toliman,219.89609628987276,-60.83752756558407,796.92,-3614.39,802.98,-20.7,1.2429,2.93,2.25,1.35,0.4700000000000001
8102,10700,,,26.017013072583932,-15.937479890319533,273.8097,-1721.728,854.963,-16.4,3.6295,4.432,4.222,3.495,2.6750000000000003
69673,124897,alfa Boo,Arcturus,213.91530030655568,19.18240918162578,88.83,-1093.39,-2000.06,-5.4,0.1114,2.459,1.189,-0.05,-1.27
16537,22049,epsilon Eri,Ran,53.23268537917799,-9.458260971226538,310.5773,-974.758,20.876,16.7,3.8652,5.197,4.607,3.726,2.786
46853,82328,,,143.21429555649357,51.67731480720938,73.8284,-942.567,-542.016,15.4,3.277,3.68,3.66,3.185,2.625
37279,61421,alfa CMi,Procyon,114.82549792219358,5.224987577594264,284.56,-714.59,-1036.8,-3.2,0.4607,0.8520000000000001,0.8320000000000001,0.4,-0.08999999999999997
37826,62509,beta Gem,Pollux,116.32895776956478,28.02619888978289,96.54,-626.55,-45.8,3.3,1.2947,3.0020000000000002,2.152,1.161,0.19100000000000006
82396,151680,epsilon Sco,Larawag,252.54087838727037,-34.29323159031974,51.19,-614.85,-255.98,-2.5,2.4532,4.705,3.4349999999999996,2.291,1.1909999999999998
61941,110379,gamma Vir,Porrima,190.4151176200515,-1.4494039542859587,83.1935,-605.176,85.701,-19.5,2.8213,3.0780000000000003,3.108,2.74,2.31
89962,168723,,,275.32750205333554,-2.898827971256473,52.4413,-548.903,-700.854,8.9,3.3995,4.856,4.196,3.255,2.295
32349,48915,alfa CMa,Sirius,101.28715538648149,-16.71611579496489,379.21,-546.01,-1223.07,-7.6,-1.0876,-1.481,-1.431,-1.44,-1.42
68933,123139,theta Cen,Menkent,211.67061468132542,-36.36995474332374,55.45,-520.53,-518.06,1.3,2.2226,3.936,3.066,2.055,1.0450000000000002
57632,102647,beta Leo,Denebola,177.2649097561135,14.572058064875003,90.91,-497.68,-114.67,-0.2,2.1605,2.296,2.226,2.136,2.036
63090,112300,delta Vir,Minelauva,193.900869267566,3.3974689038832784,17.4065,-469.714,-53.71,-17.8,3.4405,6.734,4.954,3.383,1.1429999999999998
81693,150680,zeta Her,Tianji,250.32150433146228,31.602718703799262,93.32,-461.52,342.28,-69.9,2.9338,3.667,3.457,2.807,2.107
44127,76644,iota UMa,Talitha,134.80188814549052,48.04182286068597,68.001,-439.836,-214.071,13.0,3.188,3.433,3.363,3.14,2.89
65109,115892,iota Cen,Kulou,200.1492390412708,-36.71229019358236,55.49,-341.11,-86.14,0.1,2.7717,2.848,2.818,2.75,2.73
86974,161797,,,266.61478039842757,27.720711382794654,119.9248,-312.087,-773.179,-15.0,3.5596,4.55,4.16,3.41,2.7
48319,84999,,,147.747325237044,59.03873362227794,28.3783,-294.441,-151.663,33.459999084472656,3.8476,4.191,4.091,3.8,3.4099999999999997
83000,153210,,,254.417072928685,9.375029019266117,37.1125,-292.638,-9.948,-56.5,3.3612,5.7299999999999995,4.55,3.39,2.29
27072,38393,,,86.11579423839719,-22.44838548702698,112.296,-291.757,-368.521,-8.989999771118164,3.6977,4.071,4.071,3.59,3.02
66249,118098,zeta Vir,Heze,203.6732973280346,-0.5958164173981052,43.7467,-276.903,44.621,-5.730000019073486,3.4147,3.5909999999999997,3.4909999999999997,3.377,3.2569999999999997
63608,113226,epsilon Vir,Vindemiatrix,195.54415423062014,10.959148721220014,30.211,-273.793,19.804,-13.9,2.998,4.492,3.762,2.828,1.9979999999999998
49669,87901,alfa Leo,Regulus,152.0929624369395,11.967208776129524,41.13,-248.73,5.59,5.9,1.3232,0.9130000000000001,1.2730000000000001,1.36,1.4600000000000002
63125,112413,alfa2 CVn,Cor Caroli,194.00693995641032,38.31837643523509,32.7227,-233.776,55.035,-3.3,2.8471,2.455,2.775,2.89,3.02
43109,74874,epsilon Hya,Ashlesha,131.69380096845967,6.4188015227537685,25.23,-228.11,-43.82,36.4,3.5004,4.425,4.0649999999999995,3.38,2.5999999999999996
45860,80493,,,140.26375087938058,34.39255929009728,14.7042,-218.723,16.555,37.6,3.252,6.632,4.692,3.142,1.492
56343,100407,,,173.2504788762157,-31.857624438814494,24.9632,-210.158,-41.203,-4.6,3.7025,5.1979999999999995,4.4879999999999995,3.541,2.621
60965,108767,delta Crv,Algorab,187.46606041424585,-16.515432746835973,38.06,-209.276,-139.184,9.0,2.9449,2.843,2.933,2.945,2.985
75695,137909,beta CrB,Nusakan,231.95730858292882,29.105692953691495,27.9256,-202.069,92.412,-18.7,3.7373,4.107,3.997,3.678,3.308
49841,88284,,,152.6469861057207,-12.354081625792585,28.98,-201.27,-99.63,19.4,3.7748,5.539,4.619,3.612,2.652
71908,128898,alfa Cir,Xami,220.62675272024288,-64.97513301393747,60.993,-193.169,-234.982,7.2,3.2465,3.5700000000000003,3.45,3.194,2.934
77952,141891,,,238.78566825809136,-63.43072836262868,80.4854,-187.366,-401.191,0.4,2.9075,3.175,3.125,2.81,2.45
61622,109787,,,189.42568375015966,-48.54130536064259,24.2953,-186.081,-6.757,5.0,3.8752,3.953,3.923,3.874,3.814
61932,110304,,,190.37933367166335,-48.95987151504067,25.06,-185.72,5.79,-5.5,2.146,2.1670000000000003,2.177,2.2,2.21
60260,107446,epsilon Cru,Ginan,185.340033890826,-60.40114813015129,14.1999,-171.223,91.795,-4.6,3.7319,6.608,4.978,3.589,2.199
51986,92139,,,159.32562683334896,-48.2256661854864,37.4339,-164.161,-0.183,19.2,3.9098,4.21,4.14,3.84,3.4899999999999998
59803,106625,gamma Crv,Gienah,183.95154503769945,-17.54193045764559,21.23,-158.61,21.86,-4.2,2.5477,2.133,2.473,2.58,2.68
45238,80007,beta Car,Miaplacidus,138.2999060845166,-69.71720759755696,28.82,-156.47,108.95,-5.0,1.6625,1.772,1.742,1.672,1.652
50372,89021,lambda UMa,Tania Borealis,154.27408023639225,42.914413802980754,14.4594,-152.974,-49.462,13.819999694824219,3.4586,3.539,3.479,3.45,3.4000000000000004
50191,88955,,,153.6839820310268,-42.121941343139454,31.6369,-149.929,49.548,7.070000171661377,3.8653,3.9530000000000003,3.8930000000000002,3.842,3.8120000000000003
46651,82434,,,142.67499823222872,-40.46673934445361,53.15,-147.98,61.35,8.8,3.6577,3.9410000000000003,3.971,3.6,3.17
12706,16970,gamma Cet,Kaffaljidhma,40.82516289877759,3.2358163771600137,40.97,-146.1,-146.12,-5.1,3.5001,3.631,3.561,3.468,3.368
47508,83808,omicron Leo,Subra,145.28763406036273,9.892307897765203,24.1976,-142.621,-37.338,27.0,3.6282,4.2459999999999996,4.036,3.52,2.93
57399,102224,chi UMa,Taiyangshou,176.51255861980317,47.77940424229885,16.4382,-138.297,28.66,-8.5,3.855,6.053000000000001,4.893000000000001,3.712,2.5620000000000003
54061,95689,alfa UMa,Dubhe,165.93196467526832,61.751034687996516,26.54,-134.11,-34.7,-8.9,1.9519,3.7809999999999997,2.8609999999999998,1.8,0.77
41704,71369,omicron UMa,Muscida,127.56612565665085,60.71816822193622,17.9335,-133.644,-107.664,19.8,3.5041,4.746,4.226,3.37,2.5
89642,167618,,,274.4068216618892,-36.7616901642418,23.8859,-131.804,-166.309,0.5,3.1512,6.371,4.6610000000000005,3.079,0.839
51069,90432,,,156.52260893978263,-16.83628860475661,13.371,-128.819,-80.185,39.6,3.9567,7.094,5.274,3.818,2.348
82729,152334,,,253.64585430218924,-42.36131583776259,24.2353,-126.721,-228.837,-18.7,3.7651,6.661,5.011,3.618,2.2479999999999998
55282,98430,,,169.83519729666835,-14.778539835481286,17.017,-122.958,207.083,-5.1,3.7179,5.641,4.671,3.559,2.439
36046,58207,,,111.43164850618756,27.79807970865493,24.0201,-122.06,-85.133,8.4,3.9507,5.664999999999999,4.8149999999999995,3.791,2.7809999999999997
67301,120315,eta UMa,Alkaid,206.8851573434457,49.31326672953626,31.38,-121.17,-14.91,-13.4,1.7994,1.085,1.7550000000000001,1.854,1.9340000000000002
72220,130109,109 Virginis,Maenalus,221.562181028893,1.8928838279756643,24.2814,-115.08,-20.464,-13.050000190734863,3.7371,3.6970000000000005,3.7270000000000003,3.732,3.7220000000000004
32362,48737,xi Gem,Alzirr,101.32235202264398,12.895594959923061,54.1894,-114.564,-191.671,25.3,3.4417,3.862,3.802,3.359,2.879
71075,127762,gamma Boo,Seginus,218.019465333278,38.30824807949625,37.9125,-114.344,151.788,-36.5,3.098,3.351,3.231,3.04,2.87
74395,134505,,,228.07123133995037,-52.0992487045921,28.7616,-112.9,-72.278,-10.0,3.5711,4.983,4.3229999999999995,3.405,2.4949999999999997
76952,140436,gamma CrB A,Baltesha,235.68568963572477,26.295634630793554,22.33,-111.65,49.52,-13.7,3.8233,3.81,3.85,3.83,3.79
72622,130841,alfa2 Lib,Zubenelgenubi,222.7196378915803,-16.041776519834446,43.03,-105.68,-68.4,-10.0,2.7892,2.9839999999999995,2.8939999999999997,2.747,2.5869999999999997
43813,76294,,,133.8484424889252,5.945565211484515,21.3133,-101.037,14.261,22.8,3.2803,4.887,4.087,3.109,2.149
71053,127665,Rho Bootis,Kalasungsang,217.95745554035324,30.37143656952352,19.855,-100.531,119.87,-13.7,3.7331,6.318999999999999,4.879,3.581,2.3609999999999998
77516,141513,,,237.40502901643364,-3.4302043801078144,19.23,-100.28,-25.99,-9.4,3.5411,3.4059999999999997,3.506,3.542,3.5719999999999996
80816,148856,beta Her,Kornephoros,247.55500134099336,21.489610744501686,22.0023,-98.822,-14.869,-25.5,2.9378,4.418,3.728,2.781,1.8410000000000002
74785,135742,beta Lib,Zubeneschamali,229.25172424914246,-9.382914410334685,17.62,-98.1,-19.65,-35.2,2.5739,2.183,2.5429999999999997,2.614,2.694
74376,134481,,,227.98363863460406,-48.7378249873199,17.5888,-97.126,-48.849,23.5,3.8523,3.721,3.851,3.88,3.9
57363,102249,,,176.4017278766567,-66.72875770530202,23.7289,-95.242,34.663,12.279999732971191,3.684,3.941,3.791,3.631,3.461
17378,23249,delta Eri,Rana,55.81208557455635,-9.763391930472942,110.0254,-93.634,744.36,-6.1,3.6796,5.132999999999999,4.443,3.528,2.588
75177,136422,,,230.45153998804443,-36.26137329029815,11.6616,-91.255,-85.736,-29.4,3.6909,6.9719999999999995,5.092,3.558,1.9679999999999997
23875,33111,beta Eri,Cursa,76.96239535462045,-5.086496983969882,36.2456,-88.481,-70.497,-9.2,2.8258,3.045,2.945,2.784,2.6239999999999997
39757,67523,rho Pup,Tureis,121.886034185884,-24.304324131022963,51.3999,-82.886,46.93,45.9,2.9157,3.451,3.261,2.803,2.383
110130,211416,alfa Tuc,Lang-Exster,334.6254684910697,-60.25962954479112,17.7324,-77.0,-32.823,42.2,3.0103,5.808,4.268,2.878,1.508
6537,8512,,,21.00584700839575,-8.183260898756043,29.0339,-76.226,-201.519,17.2,3.7757,5.598,4.668,3.603,2.553
76276,138917,,,233.70060521314434,10.53885562503795,10.8056,-73.952,5.748,-41.5,3.8677,4.1979999999999995,4.068,3.8,3.5
50801,89758,mu UMa,Tania Australis,155.58219865335928,41.49953826402499,17.7987,-73.749,28.259,-20.5,3.1544,6.653,4.763,3.16,1.3900000000000001
73714,133216,sigma Lib,Brachium,226.01756170571136,-25.281969580254803,12.5387,-73.484,-42.632,-4.3,3.3093,6.907,4.9670000000000005,3.293,1.0630000000000002
59316,105707,,,182.53116812747692,-22.619769286173028,10.5984,-72.019,10.637,4.9,3.1761,5.797,4.327,3.001,1.771
41307,71155,,,126.41513277128689,-3.906427216986461,25.3438,-66.738,-23.452,10.0,3.8987,3.866,3.886,3.898,3.918
15900,21120,,,51.203326325989735,9.028869617843737,15.0788,-66.384,-74.413,-21.0,3.77,5.099,4.489,3.602,2.702
32607,50241,,,102.04772967800002,-61.94138911749448,33.78,-66.07,242.97,20.6,3.3114,3.621,3.491,3.266,2.9859999999999998
112724,216228,,,342.4200728828124,66.2004050535091,27.2869,-65.947,-124.967,-12.4,3.6704,5.472,4.572,3.519,2.459
74946,135382,,,229.72742204325203,-68.67954667205797,17.1809,-65.816,-31.187,-3.0,2.8816,2.8659999999999997,2.8859999999999997,2.872,2.832
116727,222404,gamma Cep,Errai,354.8371267187232,77.63236410417623,72.5167,-64.86,171.159,-42.1,3.3767,5.179,4.239,3.208,2.218
54539,96833,,,167.41586789873156,44.49848775670357,23.2272,-62.62,-27.778,-3.8,3.1638,5.258,4.148,3.004,1.914
29655,42995,eta Gem,Propus,93.71940480126128,22.50679434158333,8.48,-62.46,-12.12,19.0,3.2945,6.91,5.25,3.65,0.9499999999999997
88771,165777,,,271.8374368618456,9.563846728390178,38.1263,-61.804,79.004,-21.420000076293945,3.7636,3.989,3.889,3.73,3.55
36377,59717,,,112.3076359864099,-43.30143539315963,17.0234,-61.628,189.627,87.7,3.3757,6.499,4.718999999999999,3.21,1.67
67927,121370,eta Boo,Muphrid,208.67116216802094,18.397720717297478,87.75,-60.95,-356.29,-0.1,2.7957,3.4600000000000004,3.2600000000000002,2.68,2.0300000000000002
54879,97633,theta Leo,Chertan,168.56002362845595,15.4295710877023,20.316,-60.538,-78.675,6.889999866485596,3.3288,3.39,3.33,3.333,3.3230000000000004
61281,109387,,,188.37059715281467,69.78823885677043,7.0093,-58.571,10.11,-11.4,3.8414,3.176,3.746,3.862,3.882
68002,121263,zeta Cen,Leepwal,208.8849401984699,-47.28837451106619,8.54,-57.37,-44.55,6.5,2.4419,1.4489999999999998,2.3689999999999998,2.545,2.725
28360,40183,beta Aur,Menkalinan,89.88217886514563,44.9474325708083,40.21,-56.44,-0.95,-18.2,1.9038,2.0269999999999997,1.9769999999999999,1.9,1.8499999999999999
68756,123299,alfa Dra,Thuban,211.09732332151242,64.37586961908322,12.5156,-56.351,12.329,-13.0,3.6452,3.528,3.608,3.657,3.737
85727,158094,,,262.77463997381915,-60.68384495499885,14.4688,-56.279,-98.714,10.0,3.5681,3.197,3.507,3.611,3.7110000000000003
60129,107259,eta Vir,Zaniah,184.97642665741918,-0.6667961977451161,13.1692,-54.665,-17.642,2.3,3.8992,3.973,3.913,3.887,3.857
93864,177716,,,286.73501297152063,-27.670415635610684,28.3195,-53.001,-253.304,45.4,3.4689,5.6370000000000005,4.487,3.318,2.168
13847,18622,theta1 Eri,Acamar,44.56531815855104,-40.30467763924048,19.9047,-52.273,23.058,12.0,2.9378,3.1740000000000004,3.0340000000000003,2.906,2.736
61199,109026,,,188.11672052053248,-72.13298978761,8.6015,-51.833,-5.664,2.5,3.7903,3.081,3.701,3.858,3.998
36188,58715,beta CMi,Gomeisa,111.78767390623874,8.289315764007654,20.17,-51.76,-38.29,22.0,2.8546,2.5170000000000003,2.797,2.894,2.964
72105,129988,epsilon Boo,Izar,221.24673982451725,27.074222317542453,13.8267,-50.818,21.024,-17.0,2.5167,,3.3440000000000003,2.378,1.4280000000000002
21393,29291,upsilon2 Eri,Theemin,68.88765817242961,-30.562342035284704,15.4501,-49.422,-12.543,-4.0,3.973,5.489,4.769,3.812,2.8819999999999997
88635,165135,gamma2 Sgr,Alnasl,271.45201765501207,-30.424027668779722,32.2697,-48.839,-204.86,22.0,3.1356,4.734999999999999,3.965,2.984,1.994
44511,78004,,,136.03866521319338,-47.09773507660509,10.8265,-47.862,-8.973,24.3,3.9211,6.143,4.923,3.749,2.6390000000000002
83207,153808,epsilon Her,Khepdenreret,255.07238899508394,30.926404224864868,19.7639,-47.603,26.755,-25.1,3.9111,3.797,3.8970000000000002,3.915,3.955
80170,147547,,,245.48006092728448,19.15312853961726,16.867,-47.283,43.139,-30.729999542236328,3.8125,4.279,4.099,3.8,3.46
35350,56537,,,109.5232454986517,16.540385994942046,32.6068,-46.157,-36.007,-15.34000015258789,3.6148,3.788,3.6879999999999997,3.582,3.4619999999999997
47908,84441,,,146.46280673688864,23.774253778183795,14.3394,-46.154,-10.799,4.8,3.1168,4.258,3.7880000000000003,2.98,2.17
