epoch_a_kyr,HIP,star_label,Vmag,evento,dettaglio
0.0,3179,Schedar,2.22524442,DIVENTA_CIRCUMPOLARE,
0.0,746,Caph,2.26503899,DIVENTA_CIRCUMPOLARE,
0.0,4427,Tiansi,2.30017946,DIVENTA_CIRCUMPOLARE,
0.0,6686,Ruchbah,2.67705586,DIVENTA_CIRCUMPOLARE,
0.0,113136,Skat,3.2738732,SALTO_STAGIONALE,g.14 <- g.358
0.0,8796,Mothallah,3.41970805,SALTO_STAGIONALE,g.8 <- g.360
0.0,3821,Achird,3.44339124,DIVENTA_CIRCUMPOLARE,
0.0,74666,Qigong,3.48848062,CESSA_CIRCUMPOLARE,
0.0,81833,HIP 81833,3.49392195,CESSA_CIRCUMPOLARE,
0.0,55219,Alula Borealis,3.5073263,CESSA_CIRCUMPOLARE,
0.0,20042,HIP 20042,3.54656154,SALTO_STAGIONALE,g.144 <- g.219
0.0,71053,Kalasungsang,3.58221033,CESSA_CIRCUMPOLARE,
0.0,13268,Miram,3.7670189,DIVENTA_CIRCUMPOLARE,
0.0,14354,HIP 14354,3.76867476,SALTO_STAGIONALE,g.12 <- g.366
0.0,14879,Dalim,3.80542963,SALTO_STAGIONALE,g.128 <- g.238
0.0,53229,Praecipua,3.81365334,CESSA_CIRCUMPOLARE,
0.0,95347,Rukbat,3.96405788,SALTO_STAGIONALE,g.329 <- g.297
-1.0,113368,Fomalhaut,1.16074927,SALTO_STAGIONALE,g.45 <- g.312
-1.0,9884,Hamal,2.0117297,SALTO_STAGIONALE,g.9 <- g.360
-1.0,76267,Alphecca,2.22052654,CESSA_CIRCUMPOLARE,
-1.0,72105,Izar,2.37956615,CESSA_CIRCUMPOLARE,
-1.0,8903,Sheratan,2.64570873,SALTO_STAGIONALE,g.12 <- g.362
-1.0,18532,Aldu,2.88797178,SALTO_STAGIONALE,g.12 <- g.365
-1.0,27628,Wazn,3.09402107,SALTO_STAGIONALE,g.156 <- g.187
-1.0,84380,Nuchuang,3.16451152,CESSA_CIRCUMPOLARE,
