epoch_kyr,n_visible,n_circumpolare,n_heliacal
0.0,340,55,5
-1.0,347,54,5
-2.0,356,54,6
-3.0,360,59,6
-4.0,360,64,6
-5.0,349,65,6
-6.0,347,64,6
-7.0,335,67,6
-8.0,321,69,5
-9.0,316,72,5
-10.0,314,72,5
-11.0,309,77,5
-12.0,312,73,5
-13.0,317,72,5
-14.0,319,67,5
-15.0,311,70,5
-16.0,313,70,5
-17.0,319,69,5
-18.0,314,66,5
-19.0,312,60,5
-20.0,308,65,5
-21.0,314,61,5
-22.0,307,61,5
-23.0,307,65,5
-24.0,310,64,5
-25.0,318,63,5
-26.0,329,60,5
-27.0,336,60,5
-28.0,345,61,5
-29.0,346,64,6
-30.0,343,67,6
-31.0,339,66,6
-32.0,333,69,6
-33.0,326,70,6
-34.0,312,74,5
-35.0,309,74,5
-36.0,307,77,5
-37.0,308,75,5
-38.0,313,76,5
-39.0,317,69,5
-40.0,313,69,5
-41.0,316,71,5
-42.0,315,71,5
-43.0,311,66,5
-44.0,309,64,5
-45.0,309,63,5
-46.0,308,67,5
-47.0,301,67,5
-48.0,301,67,5
-49.0,297,68,5
-50.0,307,62,5
-51.0,322,62,5
-52.0,333,59,5
-53.0,338,59,5
-54.0,354,56,5
-55.0,355,60,6
-56.0,359,62,6
-57.0,353,66,6
-58.0,341,66,6
-59.0,334,68,6
-60.0,319,71,6
-61.0,310,74,5
-62.0,306,78,5
-63.0,306,78,5
-64.0,310,78,5
-65.0,319,71,5
-66.0,318,70,5
-67.0,318,71,5
-68.0,319,71,5
-69.0,313,70,5
-70.0,311,65,5
-71.0,307,68,5
-72.0,306,69,5
-73.0,303,67,5
-74.0,306,64,5
-75.0,312,63,5
-76.0,317,62,5
-77.0,335,60,5
-78.0,339,61,5
-79.0,351,59,6
-80.0,357,61,6
-81.0,358,64,6
-82.0,352,67,6
-83.0,344,67,6
-84.0,331,71,6
-85.0,320,71,5
-86.0,312,77,5
-87.0,307,77,5
-88.0,310,78,5
-89.0,312,76,5
-90.0,315,75,5
-91.0,317,72,5
-92.0,316,70,5
-93.0,312,76,5
-94.0,315,71,5
-95.0,314,66,5
-96.0,308,65,5
-97.0,302,69,5
-98.0,308,68,5
-99.0,301,69,5
-100.0,301,68,5
