epoch_kyr,HIP,star_label,asterism,Vmag,heliacal_rising_day,heliacal_setting_day,season_rising,season_setting
-100.0,32349,Sirius,,-0.61885917,148.98248264,88.85655502,,Solstizio estivo
-100.0,24436,Rigel,,0.08220346,132.57926493,51.14861265,Inizio raccolta,
-100.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74725833,137.1560561,57.00420264,Inizio raccolta,
-100.0,17702,Alcyone (Pleiadi),Pleiadi,2.85613589,93.55626537,63.05082629,Solstizio estivo,
-100.0,20894,Chamukuy (Iadi),Iadi,3.19923388,110.74504998,57.09245766,,
-99.0,32349,Sirius,,-0.62715647,161.42124198,97.23909222,,
-99.0,24436,Rigel,,0.08237864,141.88915237,59.52615169,Inizio raccolta,
-99.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74744282,147.1397344,65.07826648,,
-99.0,17702,Alcyone (Pleiadi),Pleiadi,2.85629584,106.02363156,75.76043483,,
-99.0,20894,Chamukuy (Iadi),Iadi,3.20125537,121.37419456,67.80121591,,
-98.0,32349,Sirius,,-0.63546502,174.39224886,105.29786565,,
-98.0,24436,Rigel,,0.08255381,151.9473841,67.00213386,,
-98.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.7476273,157.88930935,72.29528125,,
-98.0,17702,Alcyone (Pleiadi),Pleiadi,2.85645591,118.87915633,87.626476,,Solstizio estivo
-98.0,20894,Chamukuy (Iadi),Iadi,3.20327585,132.66547149,77.56273259,Inizio raccolta,
-97.0,32349,Sirius,,-0.64378461,187.9033467,113.21941837,Equinozio autunno,
-97.0,24436,Rigel,,0.08272896,162.79615655,73.61461562,,
-97.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74781176,169.42240099,78.73689597,,
-97.0,17702,Alcyone (Pleiadi),Pleiadi,2.85661608,132.24104857,98.89571804,Inizio raccolta,
-97.0,20894,Chamukuy (Iadi),Iadi,3.20529529,144.64351805,86.56501789,,
-96.0,32349,Sirius,,-0.65211499,202.0072822,121.21083389,,
-96.0,24436,Rigel,,0.0829041,174.49421029,79.39334444,,
-96.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74799621,181.7701797,84.48711378,Equinozio autunno,
-96.0,17702,Alcyone (Pleiadi),Pleiadi,2.85677635,146.00039998,110.04895224,,
-96.0,20894,Chamukuy (Iadi),Iadi,3.20731372,157.21991393,95.14251564,,Solstizio estivo
-95.0,32349,Sirius,,-0.66045592,216.83018864,129.52194639,,
-95.0,24608,Capella,,-0.40949746,156.80216292,257.51704087,,
-95.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74818064,195.00993806,89.61175654,,Solstizio estivo
-95.0,17702,Alcyone (Pleiadi),Pleiadi,2.85693674,159.96944542,121.6210204,,
-95.0,20894,Chamukuy (Iadi),Iadi,3.20933112,170.26710273,103.73976621,,
-94.0,32349,Sirius,,-0.66880715,232.62068576,138.49452432,Fine raccolta,Inizio raccolta
-94.0,24608,Capella,,-0.40476053,175.59865612,255.17002482,,
-94.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74836505,209.31224095,94.13179325,,Solstizio estivo
-94.0,17702,Alcyone (Pleiadi),Pleiadi,2.85709724,173.98660767,134.02681047,,Inizio raccolta
-94.0,20894,Chamukuy (Iadi),Iadi,3.21134749,183.67452464,112.89010159,Equinozio autunno,
-93.0,32349,Sirius,,-0.67716841,249.84809733,148.66518023,,
-93.0,24608,Capella,,-0.40001054,191.07773792,257.02600636,,
-93.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74854946,225.03185232,97.97503475,Fine raccolta,
-93.0,17702,Alcyone (Pleiadi),Pleiadi,2.85725784,187.9516836,147.44951199,Equinozio autunno,
-93.0,20894,Chamukuy (Iadi),Iadi,3.21336284,197.37795269,123.1976458,,
-92.0,32349,Sirius,,-0.68553944,269.39342839,160.98297577,Solstizio invernale,
-92.0,24608,Capella,,-0.39524775,204.70704179,261.07247086,,
-92.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74873384,242.94247455,100.85361358,,
-92.0,17702,Alcyone (Pleiadi),Pleiadi,2.85741855,201.82711036,161.82846748,,
-92.0,20894,Chamukuy (Iadi),Iadi,3.21537715,211.37234811,135.26965476,,Inizio raccolta
-91.0,32349,Sirius,,-0.69391996,292.77999672,177.19926793,,
-91.0,24608,Capella,,-0.39047241,217.07311514,266.54720716,,
-91.0,26727,Alnitak (Cin.Orione),Cin.Orione,1.74891822,265.07613126,101.82937538,,
-91.0,17702,Alcyone (Pleiadi),Pleiadi,2.85757937,215.63041132,176.94538113,,
-91.0,20894,Chamukuy (Iadi),Iadi,3.21739044,225.71946701,149.55755056,Fine raccolta,
-90.0,32349,Sirius,,-0.7023097,321.39800572,199.80881465,Inizio freddo,
-90.0,24608,Capella,,-0.3856848,228.49610631,273.08649242,Fine raccolta,Solstizio invernale
-90.0,60718,Acrux (Cr.Sud),Cr.Sud,0.79837578,139.21452528,337.92537678,Inizio raccolta,
-90.0,17702,Alcyone (Pleiadi),Pleiadi,2.85774029,229.42586388,192.53461915,Fine raccolta,
-90.0,20894,Chamukuy (Iadi),Iadi,3.2194027,240.55578797,166.16597879,,
-89.0,32349,Sirius,,-0.71070836,351.90218759,228.40259499,,Fine raccolta
-89.0,24608,Capella,,-0.38088515,239.17511466,280.50365214,,
-89.0,60718,Acrux (Cr.Sud),Cr.Sud,0.79811966,137.2300418,353.91422026,Inizio raccolta,
-89.0,17702,Alcyone (Pleiadi),Pleiadi,2.85790133,243.31576485,208.34983782,,
-89.0,20894,Chamukuy (Iadi),Iadi,3.22141392,256.09885649,184.77080675,,Equinozio autunno
-88.0,32349,Sirius,,-0.71911564,11.11674339,256.36775555,,
-88.0,24608,Capella,,-0.37607372,249.23744143,288.70426582,,
-88.0,60718,Acrux (Cr.Sud),Cr.Sud,0.79786358,138.47263349,1.01001859,Inizio raccolta,Equinozio primavera
-88.0,17702,Alcyone (Pleiadi),Pleiadi,2.85806247,257.42870193,224.18259293,,Fine raccolta
-88.0,20894,Chamukuy (Iadi),Iadi,3.22342411,272.63610107,204.68640518,Solstizio invernale,
-87.0,32349,Sirius,,-0.72753123,28.20286776,279.7994217,,
-87.0,24608,Capella,,-0.37125076,258.75802487,297.64711212,,
-87.0,60718,Acrux (Cr.Sud),Cr.Sud,0.79760754,141.56557934,11.33827358,Inizio raccolta,
-87.0,17702,Alcyone (Pleiadi),Pleiadi,2.85822372,271.90059156,239.8622504,Solstizio invernale,
-87.0,20894,Chamukuy (Iadi),Iadi,3.22543327,290.45485642,225.01480841,,Fine raccolta
-86.0,32349,Sirius,,-0.73595483,40.80564302,299.54332672,,
-86.0,24608,Capella,,-0.36641652,267.76733294,307.32625895,,
-86.0,60718,Acrux (Cr.Sud),Cr.Sud,0.79735155,146.06755152,20.22982628,,
-86.0,17702,Alcyone (Pleiadi),Pleiadi,2.85838508,286.84510303,255.26180476,,
