epoch_kyr,rank,HIP,star_label,Vmag,dec_deg,pole_dist_deg
-100.0,1,116727,Errai,3.81346239,82.63629376,7.363706239999999
-100.0,2,11767,Polaris,2.02006444,82.30618919,7.693810810000002
-100.0,3,9598,Gang,4.03108184,77.96690314,12.03309686
-99.0,1,116727,Errai,3.80823837,87.37917679,2.6208232099999975
-99.0,2,112724,HIP 112724,3.5984391,83.42928042,6.570719580000002
-99.0,3,106032,Alfirk,3.19879606,79.37571078,10.624289219999994
-98.0,1,112724,HIP 112724,3.59762091,88.75336486,1.246635139999995
-98.0,2,116727,Errai,3.80300231,84.69917513,5.30082487
-98.0,3,106032,Alfirk,3.19870857,81.70531301,8.294686990000002
-97.0,1,112724,HIP 112724,3.5968033,85.06771386,4.932286140000002
-97.0,2,746,Caph,2.19953919,83.6015057,6.398494299999996
-97.0,3,106032,Alfirk,3.19862109,81.79263457,8.207365429999996
-96.0,1,746,Caph,2.19938316,89.18125407,0.8187459300000057
-96.0,2,109492,HIP 109492,3.41371291,87.15636232,2.8436376800000005
-96.0,3,107259,Garnet Star,4.53950454,86.12316005,3.8768399500000044
-95.0,1,107259,Garnet Star,4.53950953,87.63883819,2.3611618099999987
-95.0,2,109492,HIP 109492,3.41357291,86.06473435,3.935265650000005
-95.0,3,746,Caph,2.19924487,84.91281873,5.087181270000002
-94.0,1,102422,HIP 102422,4.50464551,82.90849556,7.091504439999994
-94.0,2,107259,Garnet Star,4.53951451,82.44991302,7.550086980000003
-94.0,3,3821,Achird,3.49435254,82.39292331,7.6070766899999995
-93.0,1,102422,HIP 102422,4.4954056,88.65327659,1.3467234099999956
-93.0,2,102098,Deneb,1.2481937,86.00206765,3.9979323499999992
-93.0,3,99675,HIP 99675,3.80424511,84.2970953,5.702904700000005
-92.0,1,99675,HIP 99675,3.80420044,89.66044666,0.3395533399999948
-92.0,2,102422,HIP 102422,4.48613106,85.59182768,4.408172320000006
-92.0,3,102098,Deneb,1.2481706,85.20208436,4.797915639999999
-91.0,1,97165,Fawaris,2.94687484,89.03668828,0.963311719999993
-91.0,2,95853,HIP 95853,3.89506947,84.60539745,5.394602550000002
-91.0,3,99675,HIP 99675,3.80415576,84.34071967,5.659280330000001
-90.0,1,92862,HIP 92862,4.69097815,85.96405055,4.035949450000004
-90.0,2,97165,Fawaris,2.94595063,85.23614006,4.763859940000003
-90.0,3,95853,HIP 95853,3.89390157,83.61319524,6.386804760000004
-89.0,1,92862,HIP 92862,4.69030946,88.30214681,1.6978531900000036
-89.0,2,86974,HIP 86974,3.84890497,85.65506825,4.344931750000001
-89.0,3,92420,Sheliak,3.82133545,81.57847613,8.421523870000001
-88.0,1,86974,HIP 86974,3.84363832,87.54125466,2.458745339999993
-88.0,2,86414,HIP 86414,3.82590348,82.77828458,7.221715419999995
-88.0,3,92862,HIP 92862,4.68964088,82.59189862,7.408101380000005
-87.0,1,86414,HIP 86414,3.82561722,86.38610246,3.6138975399999964
-87.0,2,86974,HIP 86974,3.83837488,82.75818484,7.241815160000002
-87.0,3,84380,Nuchuang,3.20754264,82.75367388,7.246326120000006
-86.0,1,86414,HIP 86414,3.82533092,84.47491536,5.525084640000003
-86.0,2,81833,HIP 81833,3.44877768,83.23759855,6.762401449999999
-86.0,3,84380,Nuchuang,3.2070456,82.96956739,7.030432610000005
-85.0,1,79992,Asuusiha,3.92614743,86.40597053,3.5940294699999953
-85.0,2,81833,HIP 81833,3.44928827,85.28791952,4.712080479999997
-85.0,3,69673,Arcturus,0.70881657,81.91745195,8.08254805
-84.0,1,79992,Asuusiha,3.92579978,86.67349687,3.326503130000006
-84.0,2,69673,Arcturus,0.69679463,84.63681891,5.363181089999998
-84.0,3,81833,HIP 81833,3.4497992,81.33962444,8.660375560000006
-83.0,1,69673,Arcturus,0.68477314,83.54259027,6.457409729999995
-83.0,2,75458,Edasich,3.35578161,82.61520449,7.384795510000004
-83.0,3,78072,HIP 78072,4.0403057,81.67292464,8.327075359999995
-82.0,1,75458,Edasich,3.35502988,86.46841698,3.5315830199999994
-82.0,2,69673,Arcturus,0.67275361,79.7513134,10.2486866
-82.0,3,80331,Athebyne,2.8208292,79.33920863,10.660791369999998
-81.0,1,75458,Edasich,3.35427791,84.93962887,5.060371129999993
-81.0,2,68756,Thuban,3.68735409,84.20044501,5.799554990000004
-81.0,3,67301,Alkaid,1.93259631,78.1739163,11.826083699999998
-80.0,1,68756,Thuban,3.68698421,89.44088432,0.559115680000005
-80.0,2,89937,HIP 89937,2.82236686,80.97087455,9.029125449999995
-80.0,3,75097,Pherkad,3.05177288,80.63951974,9.360480260000003
-79.0,1,89937,HIP 89937,2.83083008,86.54480107,3.4551989299999946
-79.0,2,68756,Thuban,3.68661443,84.48454181,5.515458190000004
-79.0,3,61281,HIP 61281,3.87691005,84.15827705,5.841722950000005
-78.0,1,89937,HIP 89937,2.83934084,87.85386269,2.1461373100000003
-78.0,2,61281,HIP 61281,3.87671953,84.19048196,5.80951804
-78.0,3,72607,Kochab,2.00463989,83.75354455,6.246455449999999
-77.0,1,89937,HIP 89937,2.84789752,82.4835204,7.516479599999997
-77.0,2,72607,Kochab,2.00560848,81.39104014,8.608959859999999
-77.0,3,61281,HIP 61281,3.87652917,79.70712101,10.292878990000006
-76.0,1,11767,Polaris,2.01293005,84.35014279,5.649857209999993
-76.0,2,72607,Kochab,2.00657671,77.66970364,12.330296360000006
-76.0,3,89937,HIP 89937,2.85649852,77.28199606,12.718003940000003
-75.0,1,11767,Polaris,2.01263357,89.81746655,0.182533449999994
-75.0,2,116727,Errai,3.67912722,75.42386151,14.576138490000005
-75.0,3,72607,Kochab,2.00754458,73.63433565,16.365664350000003
-74.0,1,11767,Polaris,2.01233715,84.73338614,5.266613860000007
-74.0,2,116727,Errai,3.67358586,80.83110118,9.168898819999995
-74.0,3,9598,Gang,4.01406486,75.83958228,14.160417719999998
-73.0,1,116727,Errai,3.66803104,85.24086134,4.759138660000005
-73.0,2,112724,HIP 112724,3.57735717,80.34715757,9.652842430000007
-73.0,3,106032,Alfirk,3.19652391,79.85078236,10.149217640000003
-72.0,1,112724,HIP 112724,3.57655447,85.07049961,4.929500390000001
-72.0,2,116727,Errai,3.66246272,84.47343833,5.526561670000007
-72.0,3,106032,Alfirk,3.19643663,83.67454603,6.325453969999998
-71.0,1,112724,HIP 112724,3.57575239,85.3153188,4.6846812
-71.0,2,106032,Alfirk,3.19634936,85.26280904,4.737190960000007
-71.0,3,746,Caph,2.20125063,82.38463136,7.61536864
-70.0,1,3821,Achird,3.41413866,85.99989402,4.000105980000001
-70.0,2,107259,Garnet Star,4.53963463,85.29382188,4.706178120000004
-70.0,3,109492,HIP 109492,3.41007352,83.90910674,6.090893260000001
-69.0,1,3821,Achird,3.41170233,88.2781337,1.721866300000002
-69.0,2,107259,Garnet Star,4.53963965,86.88212571,3.117874290000003
-69.0,3,105199,Alderamin,2.57124529,86.29266506,3.7073349399999955
-68.0,1,102422,HIP 102422,4.25258326,84.97746095,5.022539050000006
-68.0,2,105199,Alderamin,2.56955908,83.93913815,6.060861849999995
-68.0,3,3821,Achird,3.4093437,82.59364777,7.406352229999996
-67.0,1,102422,HIP 102422,4.24237094,87.1379678,2.8620322000000016
-67.0,2,99675,HIP 99675,3.80308345,84.24402728,5.755972720000003
-67.0,3,102098,Deneb,1.2475932,82.26962039,7.73037961
-66.0,1,95853,HIP 95853,3.86589827,85.99139347,4.0086065299999945
-66.0,2,99675,HIP 99675,3.80303877,85.37616888,4.6238311200000055
-66.0,3,97165,Fawaris,2.92370399,84.30008119,5.69991881
-65.0,1,95853,HIP 95853,3.86473274,87.96178095,2.038219049999995
-65.0,2,94779,HIP 94779,3.91042726,85.96656753,4.033432469999994
-65.0,3,97165,Fawaris,2.92277432,85.32309112,4.676908879999999
-64.0,1,92862,HIP 92862,4.67363075,86.17863557,3.8213644300000027
-64.0,2,94779,HIP 94779,3.90873608,84.14909461,5.850905389999994
-64.0,3,95853,HIP 95853,3.86356734,83.16740089,6.832599110000004
-63.0,1,86974,HIP 86974,3.71349142,83.93939905,6.060600949999994
-63.0,2,92862,HIP 92862,4.6729652,83.29330232,6.706697680000005
-63.0,3,86414,HIP 86414,3.81873653,82.9777682,7.0222318
-62.0,1,86414,HIP 86414,3.8184494,88.37216676,1.627833240000001
-62.0,2,87833,Eltanin,2.31244114,83.78613794,6.213862059999997
-62.0,3,85670,Rastaban,2.82424838,83.10450956,6.895490440000003
-61.0,1,86414,HIP 86414,3.81816223,86.19175551,3.808244490000007
-61.0,2,85670,Rastaban,2.82385552,84.11477531,5.885224690000001
-61.0,3,87833,Eltanin,2.31119098,81.7817272,8.218272799999994
-60.0,1,79992,Asuusiha,3.91746369,84.79129591,5.208704089999998
-60.0,2,81833,HIP 81833,3.46216651,82.06757784,7.9324221600000016
-60.0,3,85670,Rastaban,2.8234626,81.87736381,8.122636189999994
-59.0,1,79992,Asuusiha,3.91711667,85.17385218,4.826147820000003
-59.0,2,69673,Arcturus,0.40115008,83.70754812,6.2924518800000016
-59.0,3,80331,Athebyne,2.7954247,79.784646,10.215354000000005
-58.0,1,75458,Edasich,3.33691495,83.9021489,6.0978511
-58.0,2,69673,Arcturus,0.38977799,83.16892119,6.831078809999994
-58.0,3,80331,Athebyne,2.79431527,80.92546319,9.074536809999998
-57.0,1,75458,Edasich,3.33615708,87.60249588,2.3975041199999936
-57.0,2,80331,Athebyne,2.79320543,80.10886725,9.891132749999997
-57.0,3,68756,Thuban,3.67850427,79.26720191,10.732798090000003
-56.0,1,68756,Thuban,3.67813678,84.80494304,5.195056960000002
-56.0,2,75458,Edasich,3.33539897,84.53677176,5.4632282400000065
-56.0,3,75097,Pherkad,3.0503577,78.39969188,11.600308119999994
-55.0,1,68756,Thuban,3.67776939,89.22229498,0.7777050199999991
-55.0,2,75097,Pherkad,3.05029906,80.8022626,9.197737399999994
-55.0,3,72607,Kochab,2.02682632,80.20342452,9.796575480000001
-54.0,1,61281,HIP 61281,3.87219491,84.99395782,5.006042179999994
