epoch_kyr,Equinozio primavera_stella,Equinozio primavera_Vmag,Inizio semina_stella,Inizio semina_Vmag,Solstizio estivo_stella,Solstizio estivo_Vmag,Inizio raccolta_stella,Inizio raccolta_Vmag,Equinozio autunno_stella,Equinozio autunno_Vmag,Fine raccolta_stella,Fine raccolta_Vmag,Solstizio invernale_stella,Solstizio invernale_Vmag,Inizio freddo_stella,Inizio freddo_Vmag
0.0,,,,,Chamukuy (Iadi),3.4,,,,,,,,,,
-1.0,,,,,,,,,,,,,,,,
-2.0,,,,,,,,,,,Rigil Kentaurus,-0.12,,,,
-3.0,,,,,,,,,,,,,,,,
-4.0,,,,,Alnitak (Cin.Orione),1.76,,,Acrux (Cr.Sud),0.78,,,,,,
-5.0,,,,,Alnitak (Cin.Orione),1.76,,,Rigil Kentaurus,0.0,,,,,,
-6.0,,,,,,,,,,,,,,,Capella,0.04
-7.0,Chamukuy (Iadi),3.38,,,,,,,,,,,,,,
-8.0,,,,,,,,,,,,,,,,
-9.0,,,,,,,,,,,,,,,Chamukuy (Iadi),3.38
-10.0,,,,,,,Rigil Kentaurus,0.2,,,,,Capella,0.02,,
-11.0,,,,,,,Acrux (Cr.Sud),0.78,,,,,,,,
-12.0,,,,,,,Acrux (Cr.Sud),0.78,,,,,,,,
-13.0,,,,,,,Acrux (Cr.Sud),0.78,,,,,,,,
-14.0,,,,,,,,,,,Capella,-0.0,Alnitak (Cin.Orione),1.76,,
-15.0,,,,,,,,,,,,,,,,
-16.0,,,,,,,,,,,Alnitak (Cin.Orione),1.76,Arcturus,0.01,,
-17.0,,,,,,,,,Capella,-0.02,,,,,,
-18.0,,,,,,,,,,,Sirius,-1.3,,,,
-19.0,,,,,,,,,Alnitak (Cin.Orione),1.76,,,,,,
-20.0,,,,,,,Capella,-0.03,,,,,,,,
-21.0,,,,,,,Chamukuy (Iadi),3.36,Sirius,-1.28,,,,,,
-22.0,,,,,,,,,,,,,,,,
-23.0,,,,,,,Alnitak (Cin.Orione),1.76,,,,,,,,
-24.0,,,,,,,,,,,,,,,,
-25.0,,,,,Chamukuy (Iadi),3.35,Sirius,-1.25,,,,,,,,
-26.0,,,,,,,,,,,,,,,,
-27.0,,,Alcyone (Pleiadi),2.87,,,,,,,,,,,,
-28.0,,,,,,,,,,,,,,,,
-29.0,,,Chamukuy (Iadi),3.34,Alnitak (Cin.Orione),1.76,,,,,,,,,,
-30.0,Alcyone (Pleiadi),2.87,,,Sirius,-1.21,,,,,,,,,,
-31.0,,,,,Sirius,-1.2,,,Acrux (Cr.Sud),0.78,,,,,Capella,-0.09
-32.0,Chamukuy (Iadi),3.33,,,,,,,,,,,,,,
-33.0,,,,,,,,,,,,,,,,
-34.0,,,,,,,,,,,,,,,Chamukuy (Iadi),3.33
-35.0,,,,,,,,,,,,,Capella,-0.11,,
-36.0,,,,,,,,,,,,,,,,
-37.0,,,,,,,,,,,,,,,,
-38.0,,,,,,,,,,,,,,,,
-39.0,,,,,,,,,,,Capella,-0.13,Alnitak (Cin.Orione),1.76,,
-40.0,,,,,,,,,,,,,,,,
-41.0,,,,,,,,,,,Alnitak (Cin.Orione),1.76,,,,
-42.0,,,,,,,,,Alcyone (Pleiadi),2.87,,,,,,
-43.0,,,,,,,,,,,Sirius,-1.1,,,,
-44.0,,,,,,,,,Alnitak (Cin.Orione),1.76,,,,,,
-45.0,,,,,,,Capella,-0.16,,,,,,,,
-46.0,,,,,,,Chamukuy (Iadi),3.31,Sirius,-1.07,,,,,,
-47.0,,,,,,,,,,,,,,,,
-48.0,,,,,,,Rigel,0.09,,,,,,,,
-49.0,,,,,Alcyone (Pleiadi),2.86,Alnitak (Cin.Orione),1.76,,,,,,,,
-50.0,,,,,,,Sirius,-1.04,,,,,,,,
-51.0,,,,,Chamukuy (Iadi),3.3,,,,,,,,,,
-52.0,,,,,,,,,,,,,,,,
-53.0,,,,,,,,,,,,,,,,
-54.0,,,,,Alnitak (Cin.Orione),1.76,,,,,,,,,,
-55.0,,,Chamukuy (Iadi),3.29,Sirius,-1.0,,,,,,,,,,
-56.0,,,,,,,,,Acrux (Cr.Sud),0.79,,,,,,
-57.0,,,,,,,,,,,,,,,,
-58.0,,,,,,,,,,,,,,,,
-59.0,,,,,,,,,,,,,,,,
-60.0,,,Sirius,-0.96,,,,,,,,,Capella,-0.24,Chamukuy (Iadi),3.28
-61.0,,,,,,,,,,,,,,,,
-62.0,,,,,,,Acrux (Cr.Sud),0.79,,,,,,,,
-63.0,Sirius,-0.93,,,,,Acrux (Cr.Sud),0.79,,,,,,,,
-64.0,,,,,,,Acrux (Cr.Sud),0.79,,,,,,,,
-65.0,,,,,,,,,,,,,Alnitak (Cin.Orione),1.75,,
-66.0,,,,,,,,,,,,,,,,
-67.0,,,,,,,,,,,Alnitak (Cin.Orione),1.75,,,,
-68.0,,,,,,,,,Capella,-0.28,,,,,,
-69.0,,,,,,,,,,,,,,,,
-70.0,,,,,,,Capella,-0.29,Alnitak (Cin.Orione),1.75,,,,,,
-71.0,,,,,,,Alcyone (Pleiadi),2.86,,,,,,,,
-72.0,,,,,,,Chamukuy (Iadi),3.26,,,,,,,,
-73.0,,,,,,,,,,,,,,,,
-74.0,,,,,Alcyone (Pleiadi),2.86,Rigel,0.09,,,,,,,,
-75.0,,,,,,,Sirius,-0.83,,,,,,,,
-76.0,,,,,Chamukuy (Iadi),3.25,,,,,,,,,,
-77.0,,,,,,,,,,,,,,,,
-78.0,,,Alcyone (Pleiadi),2.86,,,,,,,,,,,,
-79.0,,,,,,,,,,,,,,,,
